
Size: 1000 ,Time: 0.036000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.036000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.033000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.035000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.033000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.001000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.036000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.031000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.035000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.036000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.001000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.038000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.033000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.001000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.034000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.037000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.036000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.038000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.036000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.035000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.036000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.001000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.040000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.040000 ,Versao: QS
Size: 1000 ,Time: 0.001000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.039000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.040000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.041000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.040000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.039000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.036000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.038000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.037000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.001000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 10 ,Time: 0.001000 ,Versao: QS
Size: 10 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 10 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 10 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 10 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 20 ,Time: 0.000000 ,Versao: QS
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.042000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 20 ,Time: 0.001000 ,Versao: QS
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 20 ,Time: 0.001000 ,Versao: QS
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.000000 ,Versao: QS
Size: 1000 ,Time: 0.032000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.000000 ,Versao: QS
Size: 1000 ,Time: 0.041000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.001000 ,Versao: QS+IS-IV
Size: 20 ,Time: 0.000000 ,Versao: QS
Size: 20 ,Time: 0.001000 ,Versao: QS+IS-I
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 20 ,Time: 0.000000 ,Versao: QS
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 20 ,Time: 0.002000 ,Versao: QS
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 20 ,Time: 0.002000 ,Versao: QS
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.039000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 20 ,Time: 0.001000 ,Versao: QS
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.038000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 1000 ,Time: 0.040000 ,Versao: QS
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-III
Size: 1000 ,Time: 0.000000 ,Versao: QS+IS-IV
Size: 20 ,Time: 0.000000 ,Versao: QS
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-I
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-II
Size: 20 ,Time: 0.000000 ,Versao: QS+IS-III
